FT	ID	AT	WT	ST
3	9	2	0	1
5	5	1	0	4
6	14	3	0	3
6	7	2	0	4
7	28	6	0	1
7	20	4	1	2
7	2	1	0	6
8	24	6	0	2
8	19	4	0	4
8	16	4	0	4
8	18	4	0	4
8	13	3	0	5
9	25	6	0	3
9	1	1	0	8
10	21	5	0	5
10	3	1	0	9
11	27	6	0	5
11	4	1	0	10
12	55	10	0	2
12	39	9	0	3
12	43	9	0	3
12	23	6	0	6
13	54	10	0	3
13	31	8	0	5
13	29	6	0	7
13	10	3	0	10
13	6	2	0	11
14	57	10	0	4
14	11	3	0	11
15	61	10	2	3
15	48	10	0	5
15	51	10	0	5
15	26	6	0	9
15	15	4	0	11
16	36	9	5	2
16	30	7	4	5
16	17	4	0	12
16	12	3	0	13
16	8	2	0	14
17	58	10	1	6
17	45	10	0	7
17	38	9	0	8
18	77	16	0	2
18	71	15	0	3
18	56	10	4	4
18	33	8	6	4
18	32	8	5	5
18	47	10	0	8
19	82	17	0	2
19	62	11	5	3
19	53	10	0	9
20	73	16	0	4
20	60	10	2	8
20	52	10	0	10
21	66	13	3	5
21	46	10	3	8
21	22	6	0	15
22	79	16	4	2
23	59	10	8	5
23	35	9	0	14
23	34	8	1	14
24	91	22	0	2
24	65	12	9	3
24	83	18	3	3
24	80	16	0	8
24	41	9	2	13
25	63	11	11	3
25	42	9	0	16
26	67	14	11	1
26	74	16	1	9
26	49	10	5	11
27	68	14	11	2
27	97	24	0	3
28	92	22	2	4
28	37	9	1	18
29	86	21	7	1
29	85	20	6	3
29	95	23	2	4
29	69	14	3	12
29	75	16	0	13
30	78	16	9	5
30	88	22	0	8
31	93	22	7	2
31	98	25	2	4
31	96	23	0	8
31	70	15	4	12
32	81	16	9	7
32	76	16	7	9
32	64	12	8	12
33	118	32	0	1
33	101	27	3	3
33	105	28	0	5
33	102	27	0	6
33	90	22	0	11
34	87	22	8	4
34	103	28	0	6
34	50	10	0	24
35	121	32	1	2
35	106	29	4	2
35	72	16	9	10
36	107	29	5	2
36	109	30	4	2
36	112	30	0	6
37	89	22	10	5
37	117	31	0	6
37	100	27	0	10
39	110	30	0	9
40	99	26	10	4
40	123	34	0	6
41	120	32	8	1
41	132	38	0	3
41	84	18	11	12
42	137	39	0	3
42	125	35	0	7
42	94	22	11	9
42	116	31	1	10
43	133	38	3	2
43	113	30	8	5
44	140	42	0	2
44	119	32	7	5
44	136	39	0	5
44	131	37	0	7
44	114	30	0	14
45	130	37	3	5
45	108	30	7	8
45	122	33	4	8
45	127	36	0	9
45	124	34	0	11
46	141	43	0	3
46	111	30	10	6
47	104	28	4	15
48	144	44	0	4
48	126	36	6	6
48	115	31	8	9
49	151	47	0	2
49	152	47	0	2
49	134	38	8	3
49	142	44	0	5
51	155	48	0	3
51	128	36	10	5
52	145	44	7	1
52	129	37	10	5
53	157	48	3	2
53	163	48	2	3
53	139	39	8	6
53	154	47	0	6
54	167	48	4	2
54	156	48	0	6
54	143	44	0	10
56	175	52	1	3
56	176	52	0	4
56	171	51	0	5
56	164	48	0	8
57	165	48	6	3
57	158	48	4	5
57	148	45	6	6
57	150	47	0	10
57	135	39	8	10
58	180	52	1	5
59	159	48	4	7
59	160	48	0	11
60	168	48	10	2
60	187	56	0	4
60	182	54	1	5
60	161	48	7	5
60	138	39	13	8
61	194	58	2	1
61	195	58	0	3
61	169	49	0	12
61	147	45	0	16
62	153	47	0	15
63	219	61	0	2
63	196	59	1	3
63	173	51	8	4
64	178	52	11	1
64	198	59	0	5
64	188	56	0	8
64	166	48	8	8
64	149	45	10	9
64	146	44	9	11
65	172	51	11	3
65	207	61	0	4
65	206	61	0	4
65	204	61	0	4
65	185	55	0	10
66	216	61	0	5
66	170	50	10	6
67	201	61	3	3
67	191	57	7	3
67	200	61	2	4
67	218	61	1	5
67	162	48	6	13
68	225	63	2	3
68	177	52	1	15
69	221	62	5	2
69	197	59	8	2
69	231	64	1	4
69	209	61	0	8
69	179	52	5	12
70	199	60	7	3
70	183	55	11	4
70	212	61	0	9
71	224	63	5	3
71	226	63	0	8
72	214	61	5	6
73	233	65	7	1
73	205	61	8	4
73	215	61	4	8
73	181	53	6	14
74	192	57	14	3
74	202	61	7	6
75	186	55	15	5
75	217	61	2	12
75	174	51	11	13
76	234	66	9	1
76	210	61	14	1
76	227	63	11	2
76	220	61	11	4
77	222	63	11	3
77	261	73	0	4
77	223	63	5	9
77	228	63	5	9
78	248	71	5	2
78	239	69	7	2
78	244	71	3	4
78	257	73	0	5
78	193	57	13	8
78	184	55	11	12
79	260	73	4	2
79	242	71	3	5
79	203	61	13	5
79	213	61	11	7
80	232	65	6	9
80	211	61	4	15
81	235	67	5	9
82	249	71	8	3
82	238	68	11	3
82	208	61	12	9
82	190	57	12	13
83	253	72	10	1
83	241	71	8	4
84	245	71	8	5
84	236	67	7	10
85	262	73	10	2
85	189	57	14	14
86	250	71	0	15
87	252	72	10	5
87	265	75	0	12
88	247	71	10	7
89	258	73	13	3
89	256	73	11	5
89	237	67	11	11
90	264	75	13	2
90	246	71	10	9
90	240	71	7	12
90	230	64	10	16
92	251	72	11	9
93	255	73	15	5
93	243	71	8	14
96	263	74	5	17
98	254	72	11	15
