FT	ID	AT	WT	ST
202	468	100	93	9
201	442	93	94	14
186	437	93	87	6
181	435	93	84	4
180	416	87	79	14
169	413	86	76	7
165	396	82	70	13
156	232	54	94	8
155	359	78	72	5
145	143	38	104	3
141	345	76	56	9
139	434	92	41	6
138	268	64	68	6
137	391	82	45	10
136	443	93	41	2
136	472	100	31	5
135	250	58	72	5
135	208	50	74	11
134	456	98	34	2
133	285	65	59	9
132	177	43	84	5
130	439	93	34	3
127	358	78	46	3
126	409	86	34	6
125	379	79	41	5
123	450	97	14	12
121	490	105	11	5
121	459	100	12	9
121	464	100	11	10
120	457	99	15	6
120	387	82	32	6
119	489	104	11	4
115	433	91	11	13
114	451	97	12	5
113	430	90	14	9
112	445	94	11	7
110	253	59	38	13
109	425	88	15	6
106	455	98	1	7
105	386	82	15	8
105	344	76	21	8
105	473	100	0	5
104	342	76	21	7
100	421	88	4	8
98	374	78	14	6
97	316	72	12	13
95	403	84	5	6
93	338	76	12	5
91	279	64	15	12
90	325	74	11	5
89	301	69	13	7
88	307	69	12	7
87	343	76	2	9
87	266	63	11	13
87	319	73	2	12
84	288	66	11	7
83	269	64	11	8
82	291	66	11	5
76	195	47	24	5
76	236	54	11	11
74	197	48	16	10
73	246	57	12	4
72	228	54	17	1
71	224	53	11	7
71	242	55	12	4
69	215	52	12	5
69	191	46	12	11
69	159	41	15	13
68	192	47	13	8
64	207	49	12	3
63	176	43	13	7
62	169	42	12	8
60	160	42	12	6
59	237	55	0	4
59	187	46	0	13
57	151	40	12	5
55	198	48	4	3
55	189	46	1	8
53	186	46	0	7
52	133	36	5	11
51	206	49	1	1
49	170	43	1	5
49	144	39	5	5
48	130	36	9	3
48	164	42	1	5
48	131	36	5	7
46	111	25	11	10
45	120	30	10	5
45	134	36	5	4
41	106	24	14	3
40	105	24	11	5
40	115	27	11	2
39	107	24	11	4
37	78	19	11	7
35	86	20	9	6
35	102	23	8	4
32	83	20	5	7
32	80	19	6	7
30	101	23	1	6
30	99	20	1	9
29	67	16	0	13
28	69	17	2	9
25	87	20	1	4
25	91	20	2	3
23	54	13	0	10
22	32	9	0	13
22	62	14	1	7
21	31	8	0	13
21	74	19	0	2
18	34	12	0	6
18	42	12	0	6
17	57	13	0	4
15	46	13	0	2
12	14	5	0	7
11	6	2	0	9
10	10	3	0	7
10	17	6	0	4
9	24	7	0	2
9	23	7	0	2
8	3	2	0	6
5	1	2	0	3
........................................................
........................................................
 Region A:
Orders: 0 [Norm:0, Froz:0, VIP:0]
MotorC: 12 [Norm:5, Froz:3, VIP:4]
Average Wait = 19.7686,	 Avg Serv = 6.80992




FT	ID	AT	WT	ST
152	367	78	60	14
141	444	94	35	12
134	431	90	41	3
133	460	100	31	2
132	394	82	38	12
131	401	84	43	4
131	448	94	32	5
130	474	101	17	12
129	398	83	43	3
129	365	78	47	4
129	426	88	38	3
128	290	66	49	13
125	332	76	44	5
124	323	74	44	6
124	463	100	11	13
123	286	66	56	1
123	334	76	46	1
119	393	82	36	1
119	484	103	15	1
119	461	100	12	7
116	380	79	26	11
116	441	93	15	8
115	483	103	11	1
114	458	100	11	3
112	466	100	1	11
111	405	84	22	5
109	476	101	4	4
107	481	103	0	4
107	408	86	10	11
107	395	82	13	12
106	447	94	2	10
105	429	89	11	5
101	410	86	12	3
101	385	81	7	13
100	399	83	13	4
99	392	82	15	2
99	363	78	15	6
99	369	78	11	10
95	289	66	17	12
93	424	88	0	5
92	321	74	13	5
91	305	69	13	9
91	329	75	12	4
90	324	74	13	3
89	368	78	4	7
89	339	76	8	5
87	304	69	13	5
84	299	68	13	3
82	263	63	6	13
82	287	66	11	5
81	346	76	0	5
80	317	73	0	7
78	336	76	0	2
78	274	64	9	5
78	271	64	7	7
75	262	62	6	7
75	265	63	7	5
73	270	64	1	8
72	258	59	0	13
71	261	61	6	4
71	252	59	3	9
69	255	59	7	3
67	260	60	3	4
66	248	57	3	6
64	241	55	5	4
64	230	54	6	4
63	226	54	6	3
62	225	54	4	4
62	233	54	1	7
60	227	54	0	6
59	231	54	0	5
58	213	51	5	2
57	209	51	1	5
56	221	53	0	3
55	202	48	4	3
