FT	ID	AT	WT	ST
3	8	2	0	1
3	1	1	0	2
4	7	2	0	2
6	4	2	0	4
7	12	5	0	2
7	11	3	0	4
7	10	2	0	5
8	3	2	0	6
8	5	2	0	6
9	14	7	0	2
9	15	7	0	2
9	13	6	0	3
9	9	2	0	7
10	2	2	0	8
11	23	9	0	2
11	16	7	0	4
13	24	10	0	3
13	18	9	0	4
13	21	9	0	4
14	22	9	0	5
14	19	9	0	5
15	38	14	0	1
15	17	9	0	6
16	29	13	0	3
16	25	10	0	6
17	30	13	0	4
18	36	14	0	4
19	32	14	0	5
19	35	14	0	5
20	47	19	0	1
20	28	11	0	9
21	43	19	0	2
21	46	19	0	2
21	20	9	0	12
22	42	18	0	4
22	34	14	4	4
22	31	13	0	9
23	44	19	0	4
23	45	19	0	4
23	27	10	0	13
24	39	14	6	4
24	37	14	0	10
24	33	14	0	10
25	53	23	0	2
25	41	18	1	6
26	60	24	0	2
26	57	24	0	2
26	48	20	3	3
26	6	2	0	24
27	51	21	4	2
27	62	25	0	2
27	49	21	0	6
28	52	22	5	1
29	54	23	0	6
30	59	24	0	6
31	40	15	10	6
31	61	25	0	6
31	50	21	3	7
31	55	23	0	8
31	26	10	0	21
32	63	26	0	6
33	76	31	0	2
33	65	26	0	7
34	73	30	0	4
34	72	29	0	5
35	66	26	0	9
35	56	23	0	12
36	77	31	3	2
36	70	26	8	2
36	80	33	0	3
37	88	36	0	1
37	85	34	0	3
37	81	34	0	3
37	83	34	0	3
38	75	30	0	8
39	79	33	0	6
40	107	39	0	1
40	98	37	0	3
40	84	34	0	6
40	64	26	6	8
40	68	26	4	10
41	96	37	2	2
41	102	38	0	3
41	86	35	0	6
42	104	38	2	2
42	69	26	10	6
42	78	33	2	7
42	58	24	6	12
43	111	40	1	2
43	95	37	2	4
43	89	36	0	7
44	106	39	1	4
44	92	37	3	4
44	97	37	0	7
44	82	34	0	10
45	90	36	4	5
45	108	39	1	5
46	123	45	0	1
46	114	41	1	4
46	115	41	0	5
46	101	38	0	8
47	74	30	11	6
47	109	40	1	6
47	71	27	11	9
47	93	37	0	10
48	105	39	0	9
49	129	48	0	1
50	100	38	0	12
51	132	48	0	3
51	122	43	2	6
52	99	38	11	3
52	125	46	2	4
52	87	35	13	4
52	120	42	4	6
52	119	42	1	9
53	110	40	10	3
53	133	48	1	4
54	130	48	1	5
55	141	53	0	2
55	134	48	4	3
55	139	52	0	3
55	117	42	9	4
56	138	52	1	3
57	137	50	0	7
57	112	40	5	12
58	103	38	12	8
58	94	37	0	21
59	116	42	12	5
59	131	48	0	11
60	164	59	0	1
60	140	52	3	5
61	151	56	0	5
61	121	42	11	8
62	161	59	1	2
62	127	48	12	2
62	162	59	0	3
62	91	37	21	4
62	147	55	3	4
62	126	48	9	5
63	168	59	0	4
63	152	56	0	7
63	146	55	0	8
63	118	42	10	11
63	67	26	6	31
64	153	58	0	6
64	124	45	0	19
65	154	58	2	5
66	142	54	2	10
67	181	65	0	2
67	179	64	0	3
67	165	59	2	6
67	171	60	0	7
68	143	55	11	2
68	184	65	0	3
69	149	56	11	2
69	148	56	11	2
69	183	65	0	4
69	178	64	0	5
70	145	55	12	3
70	185	65	0	5
70	160	58	7	5
72	136	49	22	1
73	166	59	11	3
73	150	56	0	17
74	173	61	10	3
74	176	64	2	8
75	156	58	13	4
76	135	48	9	19
77	167	59	15	3
77	172	61	11	5
77	113	40	13	24
78	174	61	15	2
78	163	59	13	6
78	144	55	17	6
80	170	60	14	6
80	186	65	4	11
82	180	65	11	6
82	175	62	11	9
83	157	58	17	8
85	155	58	25	2
85	128	48	33	4
87	182	65	12	10
98	158	58	31	9
100	159	58	34	8
112	177	64	32	16



........................................................
........................................................
Region A:
	Orders: 41 [Norm: 26, Froz: 10, VIP: 5]
	MotorC: 12 [Norm: 5, Froz: 4, VIP: 3]
	Average Wait = 0.609756,	 Avg Serv = 6.58537

........................................................
........................................................
Region B:
	Orders: 44 [Norm: 31, Froz: 6, VIP: 7]
	MotorC: 11 [Norm: 3, Froz: 4, VIP: 4]
	Average Wait = 0.25,	 Avg Serv = 4.88636

........................................................
........................................................
Region C:
	Orders: 55 [Norm: 19, Froz: 14, VIP: 22]
	MotorC: 10 [Norm: 3, Froz: 5, VIP: 2]
	Average Wait = 4.43636,	 Avg Serv = 5.2

........................................................
........................................................
Region D:
	Orders: 45 [Norm: 10, Froz: 8, VIP: 27]
	MotorC: 8 [Norm: 3, Froz: 3, VIP: 2]
	Average Wait = 9.6,	 Avg Serv = 6.84444

........................................................
........................................................
Whole Restaurant:
	Orders: 185 [Norm: 86, Froz: 38, VIP: 61]
	MotorC: 41 [Norm: 14, Froz: 16, VIP: 11]
	Average Wait = 3.84865,	 Avg Serv = 5.83243

